,dialog,act,emotion,len_dialog
5629,"['Hello Mary . I haven ’ t seen you for ages . Are you still seeing Paul ? '
 ' No . We broke up last month . I ’ m taking a break from dating for a while . '
 ' Did you break up amicably ? Sometimes couples row a lot before splitting up . '
 ' We just decided to stop seeing each other . It was all very amicable . Are you still going out with mike ? '
 ' Yes , I am . We ’ re thinking about getting engaged . We ’ Ve been dating for over a year now . '
 ' Good for you ! Have you seen Kelly recently ? Is she still dating nick ? '
 "" I havn't seen her for a while.She stopped seeing nick because he was cheating on her.He was seeing a girl form his office.One day , she saw them holding hands and ended the relationship immediately . ""
 ' She was right to do that . I heard the Neil and Tina getting married soon . '
 ' Really ? They ’ Ve been together for a long time . When are they getting married ? '
 ' I think it ’ s 26th September . I ’ ll check and make sure that Tina remembers to invite you to the hen night . '
 ' Thanks . Hey , look at that guy over there . I think he fancies you . '
 ' He certainly looks interested , doesn ’ t he ? Shall we invite him over to our table ? ']",[2 1 2 2 1 2 1 1 2 1 1 3],[0 0 0 0 4 4 0 0 6 0 4 4],1191
5635,"['Can you help me for a minute ? ' ' Sure , what I can do for you ? '
 "" I'm try to write a letter to one of our clients , But I just don't know exactly what to say , I don't even know how to get started , I know I should write dear Mr . Mrs . or Ms . , but the problem is I don't know the name of contact person . ""
 ' You can just put Dear Sir or Madam , officialese not personal , you can write to whom may concerned . '
 ' OK , So I first thanks them for their business , I can say something like we are very grateful for your continue support , How is that ? '
 ' Good ! But also , write off the bed you want to tell them the reason of your writing , give them more reference . '
 ' Like Regarding our new product line , we would like to announce a special price discount '
 ' Right , do you need them to respond ? '
 ' Yes , the letter would have a survey inside , and they should complete it and return to our office . How should I write that ? '
 ' You can tell them "" Please finding the enclosed customer service survey , else also , you can say Attach a customer survey . If you need resource it right away , you can tell them the urgent by saying Please return the survey without dely as soon as possible . Maye it more polite with this as early as convenience . ']",[3 4 2 3 2 3 1 2 2 3],[0 0 0 0 0 0 0 0 0 0],1276
5641,"['have you thought of moving at all Sarah ? '
 ' we ’ Ve thought about it , but my husband and I can ’ t afford it right now . The only thing we could afford would be living in the slums , which is something I don ’ t want to do . '
 ' buying a house can be expensive , but there are ways to find cheaper houses . '
 ' like what ? '
 ' well , sometimes the city auctions off houses to the community . You ’ d have to make a quick decision about the offer in a day , but you would definitely save money doing it that way . '
 ' that ’ s a good idea . Do you know anyone who has done that before ? '
 ' sure , my sister-in-law and her husband just bought a house that way . They ’ re pretty satisfied with it . '
 ' is the house pretty run-down . '
 ' not at all . The woman , who owned it , took good care of it . But when she died , she had no family left and no will , so the government had to sell it for her . '
 ' was it very old house ? '
 ' it was about 75 years old . There were a few repairs that needed doing , but it didn ’ t take a lot of money or time . '
 ' is it in a good location ? '
 ' the area can be a bit rough in the evenings , but the neighbors watch out for each other , so it ’ s ok . ']",[2 1 1 2 1 2 1 2 1 2 1 2 1],[0 0 0 0 0 4 0 0 0 0 0 0 0],1211
5649,"[""Well , I'm glad you're finally back . I was wondering what happened . ""
 ' I feel kind of stupid . ' ' Why ? '
 "" We got lost coming back . I guess I don't really know this town yet . ""
 "" You got lost . You're kidding ! ""
 "" No . We took a wrong turn somewhere.And Joseph doesn't know the town at all . So I started giving him directions.But I didn't really know where we were . So we got seriously lost . ""
 ' You could have called . '
 ' I know I could have . But finally we asked someone where we were . '
 "" You've been gone for two hours . How could you get lost for so long ? ""
 ' Guess where we ended up . ' "" I don't know . Where ? ""
 ' When we finally decided to ask someone , they told us we were in Grangerfield . '
 "" Grangerfield ! You were in Grangerfield ? That's a completely different town ! How could you drive to a completely different town ? ""
 "" I don't know.The person we asked had to give us directions to the highway to get back here . ""
 ' Grangerfield is like a dozen miles away from here . '
 "" I know it is . I don't know how it happened . "" ' Hmm , maybe I do . '
 ' What ? ' ' Maybe I have an idea how it happened . ' ' How ? '
 "" You were too busy looking at Joseph , and you weren't paying attention to the road . ""
 "" Oh , that's what you think , huh ? ""
 "" Yes , that's what I think.Maybe the next time you go out with him to buy groceries , you'll get lost for even longer.Maybe six hours or so . ""
 ' You know what , Trish ? ' ' What ? ' ' I hope so . I really hope so . '
 "" Hah , hah ! See ? I guessed right . You weren't watching the road at all . ""
 "" No , I wasn't . It's kind of hard to watch the road when Joseph is behind the wheel . ""]",[1 1 2 1 1 1 1 1 2 2 2 1 2 1 1 1 1 2 1 2 1 2 1 2 2 1 1 1],[0 5 0 5 6 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0],1683
5671,"['Did you see the woman that just left my office ? ' ' Yes . '
 "" She's another applicant , and a leading contender , but I didn ’ t want to hire her . She ’ s qualified , but she doesn ’ t quite fit the profile . We ’ re looking for an accountant , and part of the job requires interacting with clients . Well , our clients want conservative people to handle their money . And green hair with ripped jeans doesn ’ t exactly fill them with trust . ""
 "" But it's the style now . ""
 ' I realize that , but our business is serving clients and giving them what they want . '
 ' Of course . '
 ' Well , they don ’ t want to deal with people who look like that . They want people who look more like yourself . '
 ' Why is that ? '
 "" Well , they ’ re older , and they don ’ t understand today's fashions . When they see someone dressed like that , warning bells go off . They don ’ t like that style at all , and they don ’ t like dealing with people who dress like that at work . ""
 ' Oh , I see . '
 ' We used to have a woman here who dressed like that and she was good , very good . But , the clients reacted very negatively when they saw her . Some asked that their account be given to someone who dressed more conservatively . '
 ' What happened to her ? '
 ' Well , she was a very good employee and we wanted to keep her , so her supervisor called her in for a chat and laid it on the line for her . She got the idea and now she saves the trendy styles for evenings and weekends . '
 ' I see . ']",[2 1 1 1 1 1 1 2 1 1 1 2 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0],1496
5683,"['I need a haircut . ' ' Do you have an appointment ? '
 "" No , I don't . You look pretty busy today . Do you have an opening for me ? ""
 ' Yes , we do . I can cut your hair right now if you like.Do you need a shampoo too , or just a haircut ? '
 ' Just a haircut . I washed my hair this morning . '
 ' Alright . I will have an assistant wet your hair . Then I can cut it.Please step over there.How would you like your hair cut today ? '
 ' Well , I last had a haircut eight weeks ago . So my hair is pretty long.But I want the same style . '
 "" I recommend you leave it a little long on top.But we should take in the back and sides a bit more . That's more fashionable now . ""
 "" Alright . You are the expert . I'm happy to have your recommendation . ""
 ' So I will cut the sides just above the ear . Is that good ? '
 ' Fine . ' ' And do you usually part your hair along here ? ' ' Yes . '
 ' Alright , I know just what to do.Your hair seems quite dry , you know . And I see some split ends . '
 ' Yes , I know my hair is quite thin.It runs in my family . Everybody has very thin hair . '
 ' The problem is the split ends . They make your hair look even more frizzy . '
 "" I don't know what to do about it . ""
 "" Well , there are two things you can do.First , don't blow-dry your hair for so long after you shower . Let it dry naturally.That is easier on the hair , so you won't get split ends.Second , buy a g ""
 ' Do you sell conditioner here ? '
 ' Of course . I have one I can suggest . '
 "" Great . I would be happy to try it . I know my hair doesn't look good now . It's too weak . ""
 ' The problem is the split ends . ']",[3 2 2 2 1 2 1 3 4 2 1 2 1 1 1 1 1 1 2 3 4 1],[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 0],1629
5686,"['Come in , please . ' ' Good afternoon , Mrs Smith . '
 ' Good afternoon . Have a seat , please . You are Mr . Sun ? '
 ' Thank you . Yes , I am Dunlin . '
 ' I have read your resume . I know you have worked for 3 years . Why did you choose to major in mechanical engineering ? '
 ' Many factors led me to major in mechanical engineering . The most important factor is I like tinkering with machines . '
 ' What are you primarily interested in about mechanical engineering ? '
 ' I like designing products , and one of my designs received an award . Moreover , I am familiar with CAD . But I can do any mechanic well if I am employed . '
 ' Why did you decide to apply for this position ? '
 ' Your company has a very good reputation , and I am very interested in the field your company is in . '
 "" What do you think determines an employee's progress in a company such as ours ? ""
 ' Interpersonal and technical skills . '
 ' We have several applicants for this position . Why do you think you are the person we should choose ? '
 ' I have the abilities , qualities and experience that you requested in your job advert , for example I have three years experience in designing products and I got leadership experience while serving the college student union as president . '
 ' That sounds very good . How do you see your career development ? '
 "" After a few years of gaining experience in the company and furthering my professional qualifications I'd like to put my experience and skills to use in management . I want to become a supervisor in your R & D department . ""
 ' Have you anything to ask about the job ? '
 ' Yes . Do you offer any opportunities for further study ? '
 ' Yes . If you undertake additional courses , provided these are approved , and you complete them successfully , you can claim back part , quite a large part , 75 % of the costs you incurred . Not just the fees , - traveling and other expenses too . '
 "" That's fine . "" ' Anything else ? ' ' No . '
 "" Well , thank you very much , Mr . Sun . I'll let you know the result of the interview as soon as possible . Goodbye . ""
 ' Thank you , Mrs . Smith . I do hope the answer will be favorable . Goodbye . ']",[3 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 2 1 1 2 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4],2187
5694,"['Paul , you were also a parent of young kids before . So , can you tell me what you did when your kids didn ’ t behave very well ? '
 ' I know Mark is your only child . You may do it differently from what I did . Sometimes I would tap their hands when they made troubles . '
 ' I do it , too . You know , sometimes when we eat , my child would pull a dish towards him and grab it with his hands and eat . And if it were something he doesn ’ t like , he would spit it out and throw it into other dishes . He does it very often . I really get mad . I can ’ t help spank him sometimes . '
 ' And what does your husband do ? '
 ' My husband is an American . He criticizes me when I do that . He says that I can ’ t change a child ’ s behavior by using force . He is learning what I am doing now . '
 ' But spoiling a child is not going to do him good either ! You ’ Ve got to have patience with him and teach him . It ’ s not easy , I know . It ’ s hard . '
 ' Yeah . I ’ m still learning how to control his behavior and my temper . My child is almost two years old , and I ’ Ve learnt the distraction technique when he cries for something . ']",[3 4 1 2 1 1 1],[0 0 0 0 0 0 0],1141
5698,"['As an experienced interviewer , could you tell me what kind of behavior the interviewer hates most ? '
 ' Rudeness . You are not expected to sit down before being invited , and you shouldn ’ t throw yourself into the chair like you ’ re loading heavy baggage . '
 ' And we should have good sitting posture . '
 ' That ’ s right . The ideal posture for women is to put their legs together and lean to one side . This is especially important in summer . '
 ' Where should I put my overcoat and briefcase after entering the office ? '
 "" Put it beside you . Don ’ t pile your purses , briefcase and other belongings on the employer ’ s desk . You've got long hair . Don ’ t touch it while talking to the interviewer . It gives people the feeling that you cannot concentrate on your work . ""
 ' I think that ’ s the reason why Princess Diana ’ s hair style became so popular . '
 "" Also , if you are asked to sit beside the employer's desk , neither lean on it nor look at the documents there . ""
 ' I ought to respect other people ’ s privacy , as most Westerners do . '
 ' As the saying goes , when in Rome , do as the Romans do . ']",[3 1 3 4 2 3 1 3 3 4],[0 0 0 0 0 0 0 0 0 0],1133
5713,"['Okay Rebecca , well I think you ’ Ve given me a clear impression of your positive qualities , but let ’ s talk a little bit about your weaknesses . '
 ' Okay , well it ’ s always more difficult to describe them isn ’ t it ? '
 ' Definitely , but if you had to pinpoint one weakness what would it be ? '
 ' Well as I mentioned before , I do tend to get frustrated if I don ’ t see progress in my work or career . I suppose I ’ m quite a restless character . My father always taught me to be a high achiever . '
 ' So would you say if things don ’ t go your way at work it could easily get you down ? '
 ' Well , in a way yes . But I must say that even if I ’ m not completely happy in my work I always give 110 % I would never shirk my responsibilities . I suppose sometimes I expect too much too soon . '
 ' Well , you know journalism is a highly competitive world , so you do need to keep pushing yourself it ’ s true . Okay , well let ’ s move on to talk about the job position here , shall we ? '
 ' Yes , please . ']",[3 2 2 1 2 1 3 4],[0 0 0 0 0 0 0 0],1022
5731,"['Did you working in a similar position before ? '
 ' Yes . I have been with ABC Insurance Company for four years , and before that , I worked with the Pacific surveyor company as claim officer . '
 ' Could you tell me the usual procedures to handle such a case ? '
 "" Yes , on the shipper's side , when the cargos arrives , all relevant documents will be forwarded to the consignee.Among other things , this party has to check carefully the content of the packing list and weight list.When cargos are found to be damaged of short landed , this party has to call for a joint survey by representatives of the shipping company and the insurance agent.Based on the survey report , they will lodge a clam for compensation . ""
 ' If you act as our representative what would you do to safeguard our interest ? '
 "" I think , first of all , I would ask the consignee to produce survey report on loading , if they can't produce that I would suggest them to refer the case to their shipper . Meanwhile , bad weather could be agood excuse to refuse the responsibility . ""
 ' Are you able to operate the telex ? '
 ' Yes , I used to dispatch telex to shippers and the consignee to inform them of changes of our schedule and other information . '
 ' Now can you tell me if you have a good command of both written and spoken English ? '
 "" When I was college , I passed Band Six of College English Test.All the foreign business men I've dealt with say my English is quite good . ""
 ' If you are selected for the position , you must prepare to travel overseas frequently . '
 ' No problem , I love it.Thank you for granting me the interview . ']",[2 1 3 1 2 1 2 1 3 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0],1631
5735,"['What seems to be the problem ? '
 ' Your secretary seems to think she is being harassed . '
 "" What ? You've got to be kidding me ! ""
 ' I wish I were , but i am deadly serious . She said you invited her to dinner last week . '
 ' Of course I did . As recognition for a job well done . Once a month I invite the most productive employee to dinner . '
 ' Well , there is no problem there . But she seemed to think that you were angry when she refused , and that your motives are personal and not professional . '
 "" I think she's misinterpreted my intentions . What happens now ? ""
 "" Our harassment policy requires that we have a meeting with the HR manager and Miss Brown . It's quite serious . You could be reprimanded , or even fired if we find evidence that you were pressuring ""
 ' I understand that . But I hope that we can get to the bottom fo this and show Miss Brown that she misunderstood my reaction . '
 "" That's the purpose of the meeting . Sometimes a mediated conversation will straighten things out , and a little discussion and apology can calm the waters . ""]",[2 1 1 1 1 1 2 1 1 1],[0 0 6 0 0 0 0 0 0 0],1079
5754,"[""I've heard that you provide very good service , so when I need a mover , I call you guys first . ""
 ' Thanks a lot for calling us . Could you tell me more about what you need us to do ? '
 ' Oh , you see , we are on the 8th floor , and moving into the 6th floor in another building . It is about 15 kilometers to get there . '
 ' OK , the cost depends on the floor to move to , the distance between two places and the amount of the furniture to move . '
 ' How much will it cost in that case ? '
 ' Oh , let me see . It fits the second standard rates . Have a look at the contract , please . '
 ' Your charge is divided into two parts , the Payment in Advance and the rest . I thought that I should pay all of it before moving . '
 ' No , firstly we sign the contract ; you pay 50 % of what it costs , and the rest when we finish moving . '
 ' The damage and compensation item confuses me . Could you give some explanation ? '
 ' OK . If any of the articles was damaged during moving , you may make a claim for compensation with our department . ']",[1 3 4 1 2 3 4 1 3 4],[0 4 0 0 0 0 0 0 0 0],1050
5759,"['This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . '
 ' You look a little lost , can I help you ? '
 "" Um , I ’ m just having a look around . It ’ s my girlfriend ’ s birthday tomorrow . I'm trying to find her something . ""
 ' Well , you can ’ t give her granny panties . Have you thought about getting her some sleepwear ? We ’ Ve got these lovely , silky nighties . Or , how about a nice panty-and and-bra set . Look , here ’ s a nice satin push-up bra , and you can choose a few different styles of undies to go with it . '
 ' Sure that ’ s fine . '
 ' This is so awkward ... what ones do I pick ? What size is she ? '
 ' Well , do you want a thong , some bikini briefs , maybe this nice pair of lacy boy shorts ? '
 "" Just pick something and get the hell out of here . Um , I'll go with these two . This is mortifying . I just want to get this over with . She better thank me for this ... ""
 ' Here you are , sir . I ’ m sure she ’ ll enjoy them . ' ' Finally ! '
 ' I ’ m sorry , sir . I ’ m going to have to take a look inside your bag . ']",[3 2 1 3 4 2 2 3 4 1 3],[1 0 0 0 0 0 0 0 0 4 0],1171
5777,"['Good morning . I understand that you ’ Ve got a problem with your washing machine . I ’ m from the repair company . '
 ' Excellent . Come in please . The washing machine is in the bathroom upstairs . It keeps breaking down . '
 ' When did it first break down ? '
 ' About ten days ago . I ’ Ve tried to use it since then . Sometimes it works and sometimes it doesn ’ t . it ’ s very frustrating . '
 ' Is it still under warranty . If it is and I can ’ t fix it , it would be quicker and easier to exchange it for a new one . '
 ' Yes , it ’ s still under warranty . Over the last few weeks , it ’ s also been making a high-pitch noise when it ’ s in use . '
 ' Ok . I ’ ll start by looking at the motor . I ’ ll just unplug it and take a look inside the machine ... oh , yes . There ’ s the problem . It ’ s quite simple . I ’ ll sort it out in a few minutes . '
 ' What ’ s wrong with it ? '
 ' Part of the motor is loose . I can put it back in place quite easily . '
 ' That ’ s great . Thanks very much . Would you like a cup of tea or coffee ? ']",[1 3 2 1 1 1 1 2 1 2],[0 4 0 0 0 0 0 0 0 4],1052
5780,"['ABC Company , my name is Lucy . How can I help you ? '
 ' Hello , Lucy , this is Monica . I ’ m calling for the accountant position . I saw the information about the vacancy on your company ’ s website . Is it still available ? '
 ' Thank you for your interest . The position is still available . Have you already sent your CV to us ? '
 ' No , not yet . First , I want to check about the availability and see if you could give more information . '
 ' It is quite urgent for us to fill this position now and I would like to stress that English is a must because of the international contacts and most likely traveling abroad very soon . If all these is not problem for you , I recommend you to mention these in your cover letter and send it to me directly . '
 ' The notification period of my current job is not that long and I ’ m quite profession to English and I am happy with the traveling abroad as I ’ m good dealing with the people from other cultures . It makes the whole job even more interesting . I will send my resume to you still this week . ']",[2 2 2 3 3 4],[0 0 0 0 0 4],1059
5782,"[""Well , we've settled the question of price , quality and quantity . Now what about the terms of payment ? ""
 ' We only accept payment by irrevocable letter of credit payable against shipping documents . '
 ' I see . Could you make an exception and accept D / A or D / P ? '
 "" I'm afraid not . We insist on a letter of credit . ""
 "" To tell you the truth , a letter of credit would increase the cost of my import . When I open a letter of credit with a bank , I have to pay a deposit . That'll tie up my money and increase my cost . ""
 ' Consult your bank and see if they will reduce the required deposit to a minimum . '
 ' Still , there will be bank charges in connection with the credit . It would help me greatly if you would accept D / A or D / P . You can draw on me just as if there were a letter of credit . It makes no great difference to you , but it does to me . '
 "" Well , Mrs . Wang , you must be aware that an irrevocable letter of cred it gives the exporter the additional protection of the bank er's guarantee . We always require L / C for our exports . And the other way round , we pay by L / C for our imports . ""
 ' To meet you half way , what do you say if 50 % by L / C and the balance by D / P ? '
 "" I'm very sorry , Mrs . Wang . But I'm afraid I can't promise you even that . As I've said , we require payment by L / C . ""]",[2 1 3 4 3 3 3 3 3 4],[0 0 0 0 0 0 0 0 0 0],1350
5785,"['what do you do when you see a homeless person on the streets begging for money ? '
 "" I never really give them money because I don't want to contribute to their addictions . ""
 ' homeless youth can easily become involved with drugs and prostitution . Do you do anything to help them ? '
 "" I usually ask them if they want some food and then give them something to eat . I figure that if they're homeless , they're probably hungry . ""
 "" that's a good idea . Do they usually accept the food ? ""
 ' almost always . However , sometimes they get mad at me for not giving them any cash . '
 "" it's sad how more and more young people are sleeping on the streets in London now . ""
 ' the cost of living in London is just too high for most people . '
 "" it's true . The economy is in a bit of mess at the moment . ""
 ' did you know that few people can pay the rent on minimum wage , let alone pay for food and other living costs ? '
 "" there just isn't enough affordable housing to go around . If only the housing cost would drop , fewer people would be in financial trouble . ""
 ' added to that is the high unemployment rate right now . '
 "" something's got to change---and it's got to happen soon . ""
 ' politicians like to ignore the problems of the working class . They like to focus on making life easier for the upper class . '
 ' I can only hope that one day they will change . ']",[2 1 2 1 2 1 1 1 1 2 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1381
5793,"['Since China was open to the outside world , its trade forms have become much more flexible . One of these commonly used forms is co-production . Would you please do a bit explanation of it , Mr . Walker ? '
 ' Well , under this arrangement two parties cooperate to manufacture a product or a category of products , for example , machine tools for export . Each party produces and supplies a part of the components and parts ; one party is a Chinese enterprise , the other , an overseas firm . Most probably , the foreign counterpart contributes technology and equipment , and sometimes , parts and components , while the Chinese enterprises factory building , labor and other resources to the cooperative production . They join hands and fulfill orders together by an agreement or a contract . '
 ' I suppose that the assembling of these components and parts , particularly the marketing of the finished products should take place in China . '
 ' Not necessarily . It depends on the contract stipulations . They may be marketed in the foreign country where the other party is located , or even in a third country . '
 "" I think the principle of co-production is to expand export trade . It's a reciprocal business , isn't it ? ""
 ' Yes , you are right . Either party is not well-equipped to produce the final products single-handedly , but they can enter into an agreement . In such case , each side contributes different resources to make the manufacture of a certain product or a category of products possible . ']",[3 1 1 1 2 1],[0 0 0 0 0 0],1518
5801,"[""Daddy , what's next ? What else do we do now ? ""
 ' There is a man-made fishing pond nearby . So , What do you think of going fishing there ? '
 "" Great . Let's go . Where is it ? ""
 ' Patience , boy . A watched pot never boils . We shall get out fishing stuff first and make some baits , too . '
 ' We have many cookies left here . Can we use them as baits ? '
 "" I don't think fish would like them . Instead , they love earth worms . ""
 "" So let's go and catch earth worms ! ""
 "" OK . I think that's enough for today . Let's go . ""
 "" Daddy , do you think we're gonna catch any fish today ? We've been fishing here for more than two hours , and we get nothing . ""
 "" That's because you're talking to me all the time . Be patient , or there will be no chance to have sashimi for dinner today . ""
 ' I love sashimi . Did mom bring any soy sauce for that ? '
 ' I suppose she did . Be quiet . There is a fish on the hook . Here it is . Look , a big one . '
 "" Cool . Hey , I've got an idea . Why don't we cook it separately ? Half for sashimi , and the other half for grill . ""
 ' Great idea . But the fact is we have no barbecue with us . Moreover , the sashimi will be great . So why do we bother to waste time on barbecuing the fish ? '
 ' Well , all right . There is nothing to complain about . ']",[2 2 2 1 3 4 3 4 2 1 2 1 3 2 1],[0 0 4 0 0 0 4 0 0 0 0 0 4 4 0],1302
5810,"['Hello , I am Richard from the Brooks Head-hunter company . Can I have a private talk with you ? '
 ' Er ? I am driving right now . Can you call back in 30 minutes ? '
 ' Sure . Hi , Monica , Richard again . Have you ever heard about our company ? It is an international one with good reputation . We have a lot of successful cases . If you ’ re trying advance your career , I would love to help you . XYZ Company is one of our clients . They ’ re in need of the talent like you . Would you be interested in taking part in an interview ? It is scheduled some time within this week . '
 ' Thank you for calling . I really appreciate your kindness . But right now , I ’ m very busy preparing for an interview of another company . I don ’ t think I am available for this opportunity . '
 ' Ok , I see . Good luck to you . You have my number . Call me when you change your mind . I can send you more detailed information about company and jobs you might be interested in if you give me your private e-mail address . '
 ' Well , I will text to you . Thank you , bye for now . '
 ' You ’ re welcome . Bye . ']",[3 3 3 4 3 4 1],[0 0 0 0 0 0 0],1104
5815,"['Well , that was an interesting documentary ! '
 ' For sure ! I didn ’ t really understand some of the technical jargon they used in the film when they talked about social security in the US . '
 ' Like what ? '
 ' Well , they mentioned how people put away money in something called a 401K ? '
 ' Yeah , I know it sounds weird , but a 401k is a type of retirement plan that allows employees to save and invest for their own retirement . Through a 401K , you can authorize your employer to deduct a certain amount of money from your paycheck and invest it in the plan . Everyone tries to contribute as much as possible so that when you retire , you can rest peacefully on your nest egg . '
 ' That ’ s interesting and logical I guess . In my country , we also have to contribute to a government-run retirement fund , but most people don ’ t really trust it so they just invest in properties or things like that . '
 ' That seems a bit unstable don ’ t you think ? '
 ' Yeah , but corrupt governments in the past have created distrust among banks and financial institutions , so now people prefer to have money hidden in a jar or a piggy bank . '
 ' I ’ Ve been thinking of doing that lately ! I don ’ t want some banker to run off with my money ! ']",[1 1 2 1 1 1 2 1 1],[0 0 0 0 0 0 0 0 0],1249
5833,"['Let me get the keys and we ’ ll go to look at it . ' ' Okay . '
 ' It ’ s the one you like . '
 ' Wow ! It ’ s really good for me , especially the living room . It is big enough to put all my stuff there . It ’ s a deal ! I ’ ll rent this one . '
 ' Okay . Now we need you to fill a form with your personal information . We need information like social insurance number ( Social security number in the US ) , your address , phone number , etc . We also need a security deposit of $ 200 . And you have to pay two months ’ rent in advance for renting the first time . If there ’ s nothing damaged , we ’ ll give you back one month ’ s rent when you move out . You ’ ll be responsible for all the utilities . Do you want to sign a lease today ? '
 ' Sure ! '
 ' Oh , one more thing I forgot . You must let us know two months in advance if you want to stop renting within the contract . Otherwise , you can ’ t get your deposit back . '
 ' Okay . Thank you for your reminder . '
 ' You ’ re welcome . Be sure to get the keys one day before you move in . '
 ' Thank you again . ']",[1 1 1 1 3 4 3 4 1 1],[0 0 0 4 0 4 0 4 4 4],1077
5845,"['What did you do at the office today ? '
 ' I had a really busy day . I had to work a little overtime . In the morning an important client called to place a large order . I had to check some things with my colleagues before confirming the order . '
 ' What kind of things did you need to check ? '
 ' The most important thing was to check that we had the goods in stock . If the goods are in stock , we can deliver them immediately . I also had to check the price . This customer is very important , so they get special prices . '
 ' I see . Did anything else happen ? '
 ' I received a lot of emails from potential clients that I had to answer . Each time , I had to check files to see what we had agreed at earlier meetings . Each client has different conditions and requirements . '
 ' It must be difficult to remember the details for each individual client . '
 ' Yes . That ’ s why we have everything on computer files . We don ’ t use much paper at our office . After lunch , I had to deal with a complaint from a client . '
 ' I hate dealing with complaints . Was it a legitimate complaint ? '
 ' Yes , it was . I managed to sort out the problem , but I was tied up with the matter for over an hour . '
 ' You certainly had a busy day . '
 ' That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . ']",[2 1 2 1 2 1 1 1 2 1 1 1],[0 0 0 0 0 0 0 0 0 2 0 2],1422
5854,"['Hello , Sir , may I help you ? '
 ' Yes . I would like some information for requesting a loan . '
 ' Very well , here are the general terms of our loan policies . We pride ourselves in having the lowest interest rate in the country for personal loans . '
 ' I see . So let me get this straight . If I borrow let ’ s say , ten thousand dollars , how much will I have to pay each month ? '
 ' It depends on how long you take to pay it back . If we lend you ten thousand dollars at an annual interest rate of ten percent for forty eight months , you would have to pay each month a portion of the loan which is called the principal and another small portion of the annual interest rate . This of course is considering that you don ’ t default on a payment ! '
 ' It sounds good but , there is just one problem . I have a terrible credit score . '
 ' That is a very serious problem you see , the bank must assess your personal information , past loans , assets and any other relevant information such as your credit score in order to approve your loan . '
 ' You know what ? I don ’ t really need the money . Thanks anyways ! ']",[2 3 1 2 1 1 1 2],[0 0 0 0 0 0 0 0],1125
5869,"['have you bought a present for jim ’ s birthday yet ? '
 ' no , I haven ’ t . I can ’ t think of anything to get him . '
 ' I ’ m having the same problem . I want to get something really special . Jim always seem to know exactly what to get people as gifts . '
 ' I know . He bought me that beautiful sweater for my birthday . It was exactly what I wanted . And it fit me perfectly ! '
 ' he bought me an iron . '
 ' that doesn ’ t sound like a great present . '
 ' maybe not , but my iron was getting old . In fact , it stopped working the week after jim bought me the new one . It ’ s as if he knew that my old iron would soon stop working ! '
 ' let ’ s think . He loves football , doesn ’ t he ? I saw signed photographs of famous footballers in a shop near hear . Let ’ s go and have a look . You know which team he supports , don ’ t you ? '
 ' yes , I do . Let ’ s go . We should be able to find something suitable . We should get him something old ... something historic . '
 ' it ’ ll be an expensive present , but we can share the cost . '
 ' I ’ ll be happy to get him something special , even if it coasts a little extra . '
 ' yes . He always get us special gift . We should repay his kindness . ']",[2 1 1 1 1 1 1 2 3 4 1 1],[0 0 0 4 0 0 0 0 4 0 4 4],1212
5876,"['what kind of qualities do you look for in your friends ? '
 ' I like people who are open and friendly . Those people are usually more active and fun to be with . I like spending time with my friends . We go to bars together or play sports together . '
 ' I don ’ t like to make friends with people who aren ’ t honest . Honesty is very important to me . '
 ' I think it ’ s important to most people . The problem is that you can usually only find out if someone is honest by getting to know them . '
 ' you can find out from their friends . '
 ' if you know any of their friends . You can ’ t rely on your friends to introduce people to you all the time . You have to go out and make the first move sometimes . I also like funny people . '
 ' oh , I don ’ t . they don ’ t seem to take anything seriously . You never know when they are joking and when they are being serious . '
 ' sometimes it can be hard to tell , but if you know the person fairly well , you can usually see from their expression what they are really thinking . '
 ' it seems that we generally like different kinds of people . How is it that we are such good friends ? '
 ' maybe people don ’ t like to have friends that are all the same . Most people like a little variety in their lives-including a variety of characteristics in their friends . ']",[2 1 1 1 1 1 1 1 2 1],[0 0 0 0 0 0 0 0 0 0],1321
